"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","@regression - Verify ""Fotbal"" link is present","webkit","Thu Feb 05 17:56:24 UTC 2026","failed","Thu Feb 05 17:56:24 UTC 2026","Live Page Tests","","",""
"","38801","@smoke @regression - Verify header contains all required links","chromium","Thu Feb 05 17:54:38 UTC 2026","failed","Thu Feb 05 17:55:16 UTC 2026","Header Navigation Tests","","",""
"","7","@regression - Verify Biletele Mele link navigation","firefox","Thu Feb 05 17:55:44 UTC 2026","failed","Thu Feb 05 17:55:44 UTC 2026","Header Navigation Tests","","",""
"","11","@regression - Verify User Profile icon is functional","webkit","Thu Feb 05 17:56:18 UTC 2026","failed","Thu Feb 05 17:56:18 UTC 2026","Header Navigation Tests","","",""
"","9220","@regression - Verify Register button is functional","chromium","Thu Feb 05 17:54:49 UTC 2026","passed","Thu Feb 05 17:54:58 UTC 2026","Header Navigation Tests","","",""
"","18541","@regression - Verify Supersocial link navigation","chromium","Thu Feb 05 17:54:08 UTC 2026","failed","Thu Feb 05 17:54:26 UTC 2026","Header Navigation Tests","","",""
"","6","@regression - Verify ""Toate"" link is present","webkit","Thu Feb 05 17:56:24 UTC 2026","failed","Thu Feb 05 17:56:24 UTC 2026","Live Page Tests","","",""
"","11","@smoke @regression - Verify left sidebar menu exists","webkit","Thu Feb 05 17:56:20 UTC 2026","failed","Thu Feb 05 17:56:20 UTC 2026","Live Page Tests","","",""
"","5","@regression - Verify Casino Live link navigation","firefox","Thu Feb 05 17:55:46 UTC 2026","failed","Thu Feb 05 17:55:46 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Register button is functional","firefox","Thu Feb 05 17:55:51 UTC 2026","failed","Thu Feb 05 17:55:51 UTC 2026","Header Navigation Tests","","",""
"","8","@regression - Verify Search icon is functional","webkit","Thu Feb 05 17:56:14 UTC 2026","failed","Thu Feb 05 17:56:14 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify ""Fotbal"" link is functional","firefox","Thu Feb 05 17:56:00 UTC 2026","failed","Thu Feb 05 17:56:00 UTC 2026","Live Page Tests","","",""
"","14","@regression - Verify Sport link navigation","webkit","Thu Feb 05 17:56:06 UTC 2026","failed","Thu Feb 05 17:56:06 UTC 2026","Header Navigation Tests","","",""
"","10","@regression - Verify ""Toate"" link is present","firefox","Thu Feb 05 17:55:56 UTC 2026","failed","Thu Feb 05 17:55:56 UTC 2026","Live Page Tests","","",""
"","7538","@smoke @regression - Verify left sidebar menu exists","chromium","Thu Feb 05 17:55:17 UTC 2026","passed","Thu Feb 05 17:55:25 UTC 2026","Sport Page Tests","","",""
"","5","@regression - Verify ""Fotbal"" link is functional","webkit","Thu Feb 05 17:56:24 UTC 2026","failed","Thu Feb 05 17:56:24 UTC 2026","Live Page Tests","","",""
"","10","@regression - Verify Sport link navigation","firefox","Thu Feb 05 17:55:37 UTC 2026","failed","Thu Feb 05 17:55:37 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Biletele Mele link navigation","webkit","Thu Feb 05 17:56:12 UTC 2026","failed","Thu Feb 05 17:56:12 UTC 2026","Header Navigation Tests","","",""
"","6","@smoke @regression - Verify left sidebar menu exists","firefox","Thu Feb 05 17:56:01 UTC 2026","failed","Thu Feb 05 17:56:01 UTC 2026","Sport Page Tests","","",""
"","5","@smoke @regression - Verify header contains all required links","firefox","Thu Feb 05 17:55:34 UTC 2026","failed","Thu Feb 05 17:55:34 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Casino link navigation","firefox","Thu Feb 05 17:55:44 UTC 2026","failed","Thu Feb 05 17:55:44 UTC 2026","Header Navigation Tests","","",""
"","8870","@regression - Verify ""Fotbal"" link is present","chromium","Thu Feb 05 17:55:08 UTC 2026","passed","Thu Feb 05 17:55:17 UTC 2026","Live Page Tests","","",""
"","5","@regression - Verify Login button is functional","firefox","Thu Feb 05 17:55:54 UTC 2026","failed","Thu Feb 05 17:55:54 UTC 2026","Header Navigation Tests","","",""
"","7129","@regression - Verify ""Fotbal"" link is functional","chromium","Thu Feb 05 17:55:20 UTC 2026","passed","Thu Feb 05 17:55:27 UTC 2026","Live Page Tests","","",""
"","8","@regression - Verify Register button is functional","webkit","Thu Feb 05 17:56:18 UTC 2026","failed","Thu Feb 05 17:56:18 UTC 2026","Header Navigation Tests","","",""
"","12","@regression - Verify Login button is functional","webkit","Thu Feb 05 17:56:18 UTC 2026","failed","Thu Feb 05 17:56:18 UTC 2026","Header Navigation Tests","","",""
"","17947","@regression - Verify Sport link navigation","chromium","Thu Feb 05 17:54:07 UTC 2026","failed","Thu Feb 05 17:54:25 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Casino link navigation","webkit","Thu Feb 05 17:56:12 UTC 2026","failed","Thu Feb 05 17:56:12 UTC 2026","Header Navigation Tests","","",""
"","9850","@regression - Verify Search icon is functional","chromium","Thu Feb 05 17:54:39 UTC 2026","passed","Thu Feb 05 17:54:49 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify User Profile icon is functional","firefox","Thu Feb 05 17:55:49 UTC 2026","failed","Thu Feb 05 17:55:49 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Search icon is functional","firefox","Thu Feb 05 17:55:49 UTC 2026","failed","Thu Feb 05 17:55:49 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Supersocial link navigation","firefox","Thu Feb 05 17:55:40 UTC 2026","failed","Thu Feb 05 17:55:40 UTC 2026","Header Navigation Tests","","",""
"","5","@smoke @regression - Verify header contains all required links","webkit","Thu Feb 05 17:56:06 UTC 2026","failed","Thu Feb 05 17:56:06 UTC 2026","Header Navigation Tests","","",""
"","8","@regression - Verify Casino Live link navigation","webkit","Thu Feb 05 17:56:12 UTC 2026","failed","Thu Feb 05 17:56:13 UTC 2026","Header Navigation Tests","","",""
"","9219","@regression - Verify Casino Live link navigation","chromium","Thu Feb 05 17:54:30 UTC 2026","passed","Thu Feb 05 17:54:39 UTC 2026","Header Navigation Tests","","",""
"","18882","@regression - Verify Live link navigation","chromium","Thu Feb 05 17:54:08 UTC 2026","failed","Thu Feb 05 17:54:27 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Live link navigation","firefox","Thu Feb 05 17:55:38 UTC 2026","failed","Thu Feb 05 17:55:38 UTC 2026","Header Navigation Tests","","",""
"","18056","@regression - Verify Login button is functional","chromium","Thu Feb 05 17:55:36 UTC 2026","failed","Thu Feb 05 17:55:54 UTC 2026","Header Navigation Tests","","",""
"","15","@smoke @regression - Verify left sidebar menu exists","firefox","Thu Feb 05 17:55:55 UTC 2026","failed","Thu Feb 05 17:55:55 UTC 2026","Live Page Tests","","",""
"","19304","@regression - Verify Biletele Mele link navigation","chromium","Thu Feb 05 17:55:11 UTC 2026","failed","Thu Feb 05 17:55:30 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Click first 5 sub-pages and validate","webkit","Thu Feb 05 17:56:28 UTC 2026","failed","Thu Feb 05 17:56:28 UTC 2026","Sport Page Tests","","",""
