"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","@regression - Verify Register button is functional","webkit","Fri Feb 06 01:41:29 UTC 2026","failed","Fri Feb 06 01:41:29 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Live link navigation","webkit","Fri Feb 06 01:41:13 UTC 2026","failed","Fri Feb 06 01:41:13 UTC 2026","Header Navigation Tests","","",""
"","6622","@smoke @regression - Verify left sidebar menu exists","chromium","Fri Feb 06 01:40:14 UTC 2026","passed","Fri Feb 06 01:40:20 UTC 2026","Sport Page Tests","","",""
"","8","@regression - Verify Live link navigation","firefox","Fri Feb 06 01:40:30 UTC 2026","failed","Fri Feb 06 01:40:30 UTC 2026","Header Navigation Tests","","",""
"","9313","@regression - Verify ""Fotbal"" link is functional","chromium","Fri Feb 06 01:40:09 UTC 2026","passed","Fri Feb 06 01:40:18 UTC 2026","Live Page Tests","","",""
"","4","@smoke @regression - Verify header contains all required links","webkit","Fri Feb 06 01:41:08 UTC 2026","failed","Fri Feb 06 01:41:08 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify ""Fotbal"" link is present","firefox","Fri Feb 06 01:40:51 UTC 2026","failed","Fri Feb 06 01:40:51 UTC 2026","Live Page Tests","","",""
"","18807","@regression - Verify Login button is functional","webkit","Fri Feb 06 01:42:45 UTC 2026","failed","Fri Feb 06 01:43:04 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Casino link navigation","firefox","Fri Feb 06 01:40:36 UTC 2026","failed","Fri Feb 06 01:40:36 UTC 2026","Header Navigation Tests","","",""
"","17040","@regression - Verify Login button is functional","chromium","Fri Feb 06 01:40:32 UTC 2026","failed","Fri Feb 06 01:40:49 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify User Profile icon is functional","firefox","Fri Feb 06 01:40:42 UTC 2026","failed","Fri Feb 06 01:40:42 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Search icon is functional","firefox","Fri Feb 06 01:40:41 UTC 2026","failed","Fri Feb 06 01:40:41 UTC 2026","Header Navigation Tests","","",""
"","11010","@regression - Verify User Profile icon is functional","chromium","Fri Feb 06 01:39:35 UTC 2026","passed","Fri Feb 06 01:39:46 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Sport link navigation","webkit","Fri Feb 06 01:41:11 UTC 2026","failed","Fri Feb 06 01:41:11 UTC 2026","Header Navigation Tests","","",""
"","23547","@regression - Verify Biletele Mele link navigation","firefox","Fri Feb 06 01:40:48 UTC 2026","failed","Fri Feb 06 01:41:11 UTC 2026","Header Navigation Tests","","",""
"","17570","@regression - Verify Sport link navigation","chromium","Fri Feb 06 01:39:02 UTC 2026","failed","Fri Feb 06 01:39:19 UTC 2026","Header Navigation Tests","","",""
"","7647","@regression - Verify ""Fotbal"" link is present","chromium","Fri Feb 06 01:40:01 UTC 2026","passed","Fri Feb 06 01:40:09 UTC 2026","Live Page Tests","","",""
"","8459","@regression - Verify Casino Live link navigation","chromium","Fri Feb 06 01:39:26 UTC 2026","passed","Fri Feb 06 01:39:35 UTC 2026","Header Navigation Tests","","",""
"","33374","@regression - Verify Biletele Mele link navigation","webkit","Fri Feb 06 01:41:51 UTC 2026","failed","Fri Feb 06 01:42:24 UTC 2026","Header Navigation Tests","","",""
"","5080","@regression - Verify ""Toate"" link is present","chromium","Fri Feb 06 01:39:56 UTC 2026","passed","Fri Feb 06 01:40:01 UTC 2026","Live Page Tests","","",""
"","4","@regression - Verify Supersocial link navigation","webkit","Fri Feb 06 01:41:16 UTC 2026","failed","Fri Feb 06 01:41:16 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Casino Live link navigation","webkit","Fri Feb 06 01:41:22 UTC 2026","failed","Fri Feb 06 01:41:22 UTC 2026","Header Navigation Tests","","",""
