"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17852","@regression - Verify Login button is functional","firefox","Fri Feb 06 00:09:52 UTC 2026","failed","Fri Feb 06 00:10:09 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify ""Toate"" link is present","firefox","Fri Feb 06 00:09:15 UTC 2026","failed","Fri Feb 06 00:09:15 UTC 2026","Live Page Tests","","",""
"","18133","@smoke @regression - Verify left sidebar menu exists","webkit","Fri Feb 06 00:12:14 UTC 2026","passed","Fri Feb 06 00:12:32 UTC 2026","Sport Page Tests","","",""
"","9","@smoke @regression - Verify left sidebar menu exists","firefox","Fri Feb 06 00:09:13 UTC 2026","failed","Fri Feb 06 00:09:13 UTC 2026","Live Page Tests","","",""
"","19722","@regression - Click first 5 sub-pages and validate","webkit","Fri Feb 06 00:12:12 UTC 2026","passed","Fri Feb 06 00:12:32 UTC 2026","Sport Page Tests","","",""
"","14","@regression - Verify User Profile icon is functional","chromium","Fri Feb 06 00:08:32 UTC 2026","failed","Fri Feb 06 00:08:32 UTC 2026","Header Navigation Tests","","",""
"","18313","@regression - Verify Biletele Mele link navigation","chromium","Fri Feb 06 00:08:35 UTC 2026","failed","Fri Feb 06 00:08:54 UTC 2026","Header Navigation Tests","","",""
"","26855","@regression - Verify Sport link navigation","webkit","Fri Feb 06 00:10:10 UTC 2026","failed","Fri Feb 06 00:10:37 UTC 2026","Header Navigation Tests","","",""
"","18432","@regression - Verify Login button is functional","webkit","Fri Feb 06 00:12:33 UTC 2026","failed","Fri Feb 06 00:12:51 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Supersocial link navigation","chromium","Fri Feb 06 00:08:20 UTC 2026","failed","Fri Feb 06 00:08:20 UTC 2026","Header Navigation Tests","","",""
"","22937","@regression - Verify Casino link navigation","webkit","Fri Feb 06 00:10:39 UTC 2026","passed","Fri Feb 06 00:11:02 UTC 2026","Header Navigation Tests","","",""
"","17019","@regression - Verify User Profile icon is functional","webkit","Fri Feb 06 00:11:03 UTC 2026","passed","Fri Feb 06 00:11:20 UTC 2026","Header Navigation Tests","","",""
"","10","@smoke @regression - Verify left sidebar menu exists","firefox","Fri Feb 06 00:09:19 UTC 2026","failed","Fri Feb 06 00:09:19 UTC 2026","Sport Page Tests","","",""
"","8","@regression - Verify Register button is functional","chromium","Fri Feb 06 00:08:32 UTC 2026","failed","Fri Feb 06 00:08:32 UTC 2026","Header Navigation Tests","","",""
"","30632","@regression - Verify Biletele Mele link navigation","webkit","Fri Feb 06 00:11:39 UTC 2026","failed","Fri Feb 06 00:12:10 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Casino link navigation","firefox","Fri Feb 06 00:09:04 UTC 2026","failed","Fri Feb 06 00:09:04 UTC 2026","Header Navigation Tests","","",""
"","23126","@regression - Verify Casino Live link navigation","webkit","Fri Feb 06 00:10:39 UTC 2026","passed","Fri Feb 06 00:11:02 UTC 2026","Header Navigation Tests","","",""
"","7","@regression - Verify Casino link navigation","chromium","Fri Feb 06 00:08:26 UTC 2026","failed","Fri Feb 06 00:08:26 UTC 2026","Header Navigation Tests","","",""
"","17033","@regression - Verify Search icon is functional","webkit","Fri Feb 06 00:11:02 UTC 2026","passed","Fri Feb 06 00:11:19 UTC 2026","Header Navigation Tests","","",""
"","22723","@regression - Verify Biletele Mele link navigation","firefox","Fri Feb 06 00:09:15 UTC 2026","failed","Fri Feb 06 00:09:38 UTC 2026","Header Navigation Tests","","",""
"","8","@regression - Verify Sport link navigation","firefox","Fri Feb 06 00:08:59 UTC 2026","failed","Fri Feb 06 00:08:59 UTC 2026","Header Navigation Tests","","",""
"","5636","@smoke @regression - Verify left sidebar menu exists","chromium","Fri Feb 06 00:08:44 UTC 2026","passed","Fri Feb 06 00:08:50 UTC 2026","Sport Page Tests","","",""
"","17369","@regression - Verify ""Toate"" link is present","webkit","Fri Feb 06 00:11:37 UTC 2026","passed","Fri Feb 06 00:11:54 UTC 2026","Live Page Tests","","",""
"","8459","@regression - Verify ""Fotbal"" link is functional","chromium","Fri Feb 06 00:08:38 UTC 2026","passed","Fri Feb 06 00:08:46 UTC 2026","Live Page Tests","","",""
"","17557","@regression - Verify ""Fotbal"" link is present","webkit","Fri Feb 06 00:11:55 UTC 2026","passed","Fri Feb 06 00:12:12 UTC 2026","Live Page Tests","","",""
"","4","@regression - Verify Register button is functional","firefox","Fri Feb 06 00:09:10 UTC 2026","failed","Fri Feb 06 00:09:10 UTC 2026","Header Navigation Tests","","",""
"","16661","@regression - Verify Login button is functional","chromium","Fri Feb 06 00:08:55 UTC 2026","failed","Fri Feb 06 00:09:12 UTC 2026","Header Navigation Tests","","",""
"","25945","@regression - Verify Live link navigation","webkit","Fri Feb 06 00:10:11 UTC 2026","failed","Fri Feb 06 00:10:37 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify Casino Live link navigation","chromium","Fri Feb 06 00:08:27 UTC 2026","failed","Fri Feb 06 00:08:27 UTC 2026","Header Navigation Tests","","",""
"","17272","@smoke @regression - Verify left sidebar menu exists","webkit","Fri Feb 06 00:11:38 UTC 2026","passed","Fri Feb 06 00:11:55 UTC 2026","Live Page Tests","","",""
"","25092","@regression - Verify ""Fotbal"" link is functional","webkit","Fri Feb 06 00:12:59 UTC 2026","failed","Fri Feb 06 00:13:25 UTC 2026","Live Page Tests","","",""
"","4","@regression - Verify Search icon is functional","firefox","Fri Feb 06 00:09:08 UTC 2026","failed","Fri Feb 06 00:09:08 UTC 2026","Header Navigation Tests","","",""
"","7","@smoke @regression - Verify left sidebar menu exists","chromium","Fri Feb 06 00:08:32 UTC 2026","failed","Fri Feb 06 00:08:32 UTC 2026","Live Page Tests","","",""
"","4","@regression - Verify ""Fotbal"" link is functional","firefox","Fri Feb 06 00:09:18 UTC 2026","failed","Fri Feb 06 00:09:18 UTC 2026","Live Page Tests","","",""
"","4","@regression - Verify Live link navigation","chromium","Fri Feb 06 00:08:21 UTC 2026","failed","Fri Feb 06 00:08:21 UTC 2026","Header Navigation Tests","","",""
"","25066","@regression - Verify Supersocial link navigation","webkit","Fri Feb 06 00:10:10 UTC 2026","failed","Fri Feb 06 00:10:35 UTC 2026","Header Navigation Tests","","",""
"","6","@smoke @regression - Verify header contains all required links","chromium","Fri Feb 06 00:08:21 UTC 2026","failed","Fri Feb 06 00:08:21 UTC 2026","Header Navigation Tests","","",""
"","50013","@smoke @regression - Verify header contains all required links","webkit","Fri Feb 06 00:10:43 UTC 2026","failed","Fri Feb 06 00:11:33 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Search icon is functional","chromium","Fri Feb 06 00:08:27 UTC 2026","failed","Fri Feb 06 00:08:27 UTC 2026","Header Navigation Tests","","",""
"","4","@smoke @regression - Verify header contains all required links","firefox","Fri Feb 06 00:08:55 UTC 2026","failed","Fri Feb 06 00:08:55 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Sport link navigation","chromium","Fri Feb 06 00:08:20 UTC 2026","failed","Fri Feb 06 00:08:20 UTC 2026","Header Navigation Tests","","",""
"","5","@regression - Verify ""Fotbal"" link is present","firefox","Fri Feb 06 00:09:17 UTC 2026","failed","Fri Feb 06 00:09:17 UTC 2026","Live Page Tests","","",""
"","4","@regression - Verify Supersocial link navigation","firefox","Fri Feb 06 00:09:02 UTC 2026","failed","Fri Feb 06 00:09:02 UTC 2026","Header Navigation Tests","","",""
"","9937","@regression - Click first 5 sub-pages and validate","firefox","Fri Feb 06 00:09:24 UTC 2026","passed","Fri Feb 06 00:09:34 UTC 2026","Sport Page Tests","","",""
"","4","@regression - Verify Live link navigation","firefox","Fri Feb 06 00:09:00 UTC 2026","failed","Fri Feb 06 00:09:00 UTC 2026","Header Navigation Tests","","",""
"","8","@regression - Verify ""Fotbal"" link is present","chromium","Fri Feb 06 00:08:38 UTC 2026","failed","Fri Feb 06 00:08:38 UTC 2026","Live Page Tests","","",""
"","4","@regression - Verify Casino Live link navigation","firefox","Fri Feb 06 00:09:06 UTC 2026","failed","Fri Feb 06 00:09:06 UTC 2026","Header Navigation Tests","","",""
"","6380","@regression - Click first 5 sub-pages and validate","chromium","Fri Feb 06 00:08:46 UTC 2026","passed","Fri Feb 06 00:08:53 UTC 2026","Sport Page Tests","","",""
"","17740","@regression - Verify Register button is functional","webkit","Fri Feb 06 00:11:19 UTC 2026","passed","Fri Feb 06 00:11:37 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify ""Toate"" link is present","chromium","Fri Feb 06 00:08:37 UTC 2026","failed","Fri Feb 06 00:08:37 UTC 2026","Live Page Tests","","",""
"","4","@regression - Verify User Profile icon is functional","firefox","Fri Feb 06 00:09:08 UTC 2026","failed","Fri Feb 06 00:09:08 UTC 2026","Header Navigation Tests","","",""
