"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","@regression - Verify Casino link navigation","firefox","Thu Feb 05 17:31:36 UTC 2026","failed","Thu Feb 05 17:31:36 UTC 2026","Header Navigation Tests","","",""
"","8240","@regression - Verify ""Fotbal"" link is functional","chromium","Thu Feb 05 17:31:07 UTC 2026","passed","Thu Feb 05 17:31:16 UTC 2026","Live Page Tests","","",""
"","11","@regression - Verify User Profile icon is functional","firefox","Thu Feb 05 17:31:42 UTC 2026","failed","Thu Feb 05 17:31:42 UTC 2026","Header Navigation Tests","","",""
"","6680","@smoke @regression - Verify left sidebar menu exists","chromium","Thu Feb 05 17:31:14 UTC 2026","passed","Thu Feb 05 17:31:20 UTC 2026","Sport Page Tests","","",""
"","5","@regression - Verify ""Toate"" link is present","firefox","Thu Feb 05 17:31:48 UTC 2026","failed","Thu Feb 05 17:31:48 UTC 2026","Live Page Tests","","",""
"","16662","@regression - Verify Supersocial link navigation","chromium","Thu Feb 05 17:30:03 UTC 2026","failed","Thu Feb 05 17:30:19 UTC 2026","Header Navigation Tests","","",""
"","21579","@regression - Click first 5 sub-pages and validate","webkit","Thu Feb 05 17:33:14 UTC 2026","passed","Thu Feb 05 17:33:36 UTC 2026","Sport Page Tests","","",""
"","4","@regression - Verify Supersocial link navigation","firefox","Thu Feb 05 17:31:32 UTC 2026","failed","Thu Feb 05 17:31:32 UTC 2026","Header Navigation Tests","","",""
"","4","@regression - Verify Live link navigation","firefox","Thu Feb 05 17:31:32 UTC 2026","failed","Thu Feb 05 17:31:32 UTC 2026","Header Navigation Tests","","",""
"","18482","@regression - Verify Login button is functional","webkit","Thu Feb 05 17:33:38 UTC 2026","failed","Thu Feb 05 17:33:56 UTC 2026","Header Navigation Tests","","",""
"","5914","@regression - Click first 5 sub-pages and validate","chromium","Thu Feb 05 17:31:16 UTC 2026","passed","Thu Feb 05 17:31:22 UTC 2026","Sport Page Tests","","",""
"","17537","@regression - Verify Sport link navigation","chromium","Thu Feb 05 17:30:04 UTC 2026","failed","Thu Feb 05 17:30:21 UTC 2026","Header Navigation Tests","","",""
"","4878","@regression - Verify ""Toate"" link is present","chromium","Thu Feb 05 17:30:55 UTC 2026","passed","Thu Feb 05 17:31:00 UTC 2026","Live Page Tests","","",""
"","23377","@regression - Verify Biletele Mele link navigation","firefox","Thu Feb 05 17:31:56 UTC 2026","failed","Thu Feb 05 17:32:19 UTC 2026","Header Navigation Tests","","",""
"","17854","@regression - Verify Login button is functional","firefox","Thu Feb 05 17:32:31 UTC 2026","failed","Thu Feb 05 17:32:49 UTC 2026","Header Navigation Tests","","",""
"","6","@regression - Verify Supersocial link navigation","webkit","Thu Feb 05 17:32:24 UTC 2026","failed","Thu Feb 05 17:32:24 UTC 2026","Header Navigation Tests","","",""
"","5054","@smoke @regression - Verify left sidebar menu exists","chromium","Thu Feb 05 17:30:50 UTC 2026","passed","Thu Feb 05 17:30:55 UTC 2026","Live Page Tests","","",""
