"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22741","@regression - Verify Sport link navigation","webkit","Sat Feb 07 21:56:05 UTC 2026","failed","Sat Feb 07 21:56:27 UTC 2026","Header Navigation Tests","","",""
"","36616","@smoke @regression - Verify header contains all required links","chromium","Sat Feb 07 21:56:08 UTC 2026","failed","Sat Feb 07 21:56:45 UTC 2026","Header Navigation Tests","","",""
"","4764","@smoke @regression - Verify left sidebar menu exists","chromium","Sat Feb 07 21:56:24 UTC 2026","passed","Sat Feb 07 21:56:28 UTC 2026","Live Page Tests","","",""
"","18055","@regression - Click first 5 sub-pages and validate","webkit","Sat Feb 07 21:58:09 UTC 2026","passed","Sat Feb 07 21:58:27 UTC 2026","Sport Page Tests","","",""
"","18014","@regression - Verify Register button is functional","webkit","Sat Feb 07 21:57:15 UTC 2026","passed","Sat Feb 07 21:57:33 UTC 2026","Header Navigation Tests","","",""
"","5187","@regression - Verify ""Toate"" link is present","chromium","Sat Feb 07 21:56:28 UTC 2026","passed","Sat Feb 07 21:56:34 UTC 2026","Live Page Tests","","",""
"","16447","@smoke @regression - Verify left sidebar menu exists","webkit","Sat Feb 07 21:57:34 UTC 2026","passed","Sat Feb 07 21:57:51 UTC 2026","Live Page Tests","","",""
"","7706","@regression - Verify Casino Live link navigation","chromium","Sat Feb 07 21:55:59 UTC 2026","passed","Sat Feb 07 21:56:06 UTC 2026","Header Navigation Tests","","",""
"","12018","@regression - Verify Register button is functional","firefox","Sat Feb 07 21:56:21 UTC 2026","passed","Sat Feb 07 21:56:33 UTC 2026","Header Navigation Tests","","",""
"","8263","@regression - Click first 5 sub-pages and validate","firefox","Sat Feb 07 21:57:02 UTC 2026","passed","Sat Feb 07 21:57:10 UTC 2026","Sport Page Tests","","",""
"","17425","@regression - Verify Sport link navigation","firefox","Sat Feb 07 21:55:43 UTC 2026","failed","Sat Feb 07 21:56:01 UTC 2026","Header Navigation Tests","","",""
"","16720","@regression - Verify ""Fotbal"" link is functional","firefox","Sat Feb 07 21:56:49 UTC 2026","passed","Sat Feb 07 21:57:06 UTC 2026","Live Page Tests","","",""
"","6450","@regression - Verify ""Fotbal"" link is present","firefox","Sat Feb 07 21:56:45 UTC 2026","passed","Sat Feb 07 21:56:52 UTC 2026","Live Page Tests","","",""
"","16880","@regression - Verify User Profile icon is functional","webkit","Sat Feb 07 21:56:59 UTC 2026","passed","Sat Feb 07 21:57:16 UTC 2026","Header Navigation Tests","","",""
"","10912","@regression - Verify Search icon is functional","firefox","Sat Feb 07 21:56:10 UTC 2026","passed","Sat Feb 07 21:56:21 UTC 2026","Header Navigation Tests","","",""
"","12349","@regression - Verify Casino Live link navigation","firefox","Sat Feb 07 21:56:05 UTC 2026","passed","Sat Feb 07 21:56:18 UTC 2026","Header Navigation Tests","","",""
"","7280","@regression - Verify Casino link navigation","chromium","Sat Feb 07 21:55:58 UTC 2026","passed","Sat Feb 07 21:56:05 UTC 2026","Header Navigation Tests","","",""
"","16578","@regression - Verify ""Toate"" link is present","webkit","Sat Feb 07 21:57:33 UTC 2026","passed","Sat Feb 07 21:57:50 UTC 2026","Live Page Tests","","",""
"","5398","@smoke @regression - Verify left sidebar menu exists","chromium","Sat Feb 07 21:56:47 UTC 2026","passed","Sat Feb 07 21:56:52 UTC 2026","Sport Page Tests","","",""
"","17410","@regression - Verify Search icon is functional","webkit","Sat Feb 07 21:56:58 UTC 2026","passed","Sat Feb 07 21:57:15 UTC 2026","Header Navigation Tests","","",""
"","29941","@regression - Verify Biletele Mele link navigation","webkit","Sat Feb 07 21:57:36 UTC 2026","failed","Sat Feb 07 21:58:06 UTC 2026","Header Navigation Tests","","",""
"","8680","@regression - Verify ""Fotbal"" link is functional","chromium","Sat Feb 07 21:56:40 UTC 2026","passed","Sat Feb 07 21:56:49 UTC 2026","Live Page Tests","","",""
"","25602","@regression - Verify Supersocial link navigation","webkit","Sat Feb 07 21:56:08 UTC 2026","failed","Sat Feb 07 21:56:33 UTC 2026","Header Navigation Tests","","",""
