"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17514","@regression - Verify Sport link navigation","chromium","Fri Feb 06 02:23:13 UTC 2026","failed","Fri Feb 06 02:23:31 UTC 2026","Header Navigation Tests","","",""
"","17521","@smoke @regression - Verify left sidebar menu exists","webkit","Fri Feb 06 02:25:20 UTC 2026","passed","Fri Feb 06 02:25:38 UTC 2026","Live Page Tests","","",""
"","6138","@smoke @regression - Verify left sidebar menu exists","firefox","Fri Feb 06 02:24:21 UTC 2026","passed","Fri Feb 06 02:24:27 UTC 2026","Live Page Tests","","",""
"","30091","@regression - Verify Sport link navigation","webkit","Fri Feb 06 02:23:54 UTC 2026","failed","Fri Feb 06 02:24:24 UTC 2026","Header Navigation Tests","","",""
"","17620","@regression - Verify User Profile icon is functional","webkit","Fri Feb 06 02:24:49 UTC 2026","passed","Fri Feb 06 02:25:07 UTC 2026","Header Navigation Tests","","",""
"","18658","@regression - Verify ""Toate"" link is present","webkit","Fri Feb 06 02:25:23 UTC 2026","passed","Fri Feb 06 02:25:41 UTC 2026","Live Page Tests","","",""
"","10806","@regression - Verify Register button is functional","firefox","Fri Feb 06 02:24:10 UTC 2026","passed","Fri Feb 06 02:24:21 UTC 2026","Header Navigation Tests","","",""
"","14638","@regression - Verify Login button is functional","chromium","Fri Feb 06 02:24:32 UTC 2026","failed","Fri Feb 06 02:24:47 UTC 2026","Header Navigation Tests","","",""
"","12327","@regression - Verify Casino link navigation","firefox","Fri Feb 06 02:23:44 UTC 2026","passed","Fri Feb 06 02:23:56 UTC 2026","Header Navigation Tests","","",""
"","21073","@regression - Verify ""Fotbal"" link is functional","webkit","Fri Feb 06 02:26:45 UTC 2026","failed","Fri Feb 06 02:27:07 UTC 2026","Live Page Tests","","",""
"","19592","@regression - Verify Login button is functional","webkit","Fri Feb 06 02:26:20 UTC 2026","failed","Fri Feb 06 02:26:40 UTC 2026","Header Navigation Tests","","",""
"","23238","@regression - Verify Biletele Mele link navigation","firefox","Fri Feb 06 02:24:36 UTC 2026","failed","Fri Feb 06 02:24:59 UTC 2026","Header Navigation Tests","","",""
"","9753","@regression - Verify Register button is functional","chromium","Fri Feb 06 02:23:49 UTC 2026","passed","Fri Feb 06 02:23:58 UTC 2026","Header Navigation Tests","","",""
"","20719","@regression - Verify Casino Live link navigation","webkit","Fri Feb 06 02:24:28 UTC 2026","passed","Fri Feb 06 02:24:49 UTC 2026","Header Navigation Tests","","",""
"","16104","@regression - Verify Live link navigation","chromium","Fri Feb 06 02:23:09 UTC 2026","failed","Fri Feb 06 02:23:25 UTC 2026","Header Navigation Tests","","",""
"","5684","@regression - Verify ""Toate"" link is present","chromium","Fri Feb 06 02:24:03 UTC 2026","passed","Fri Feb 06 02:24:09 UTC 2026","Live Page Tests","","",""
"","38879","@smoke @regression - Verify header contains all required links","firefox","Fri Feb 06 02:23:49 UTC 2026","failed","Fri Feb 06 02:24:28 UTC 2026","Header Navigation Tests","","",""
"","46692","@smoke @regression - Verify header contains all required links","webkit","Fri Feb 06 02:24:29 UTC 2026","failed","Fri Feb 06 02:25:16 UTC 2026","Header Navigation Tests","","",""
"","24637","@regression - Verify Live link navigation","webkit","Fri Feb 06 02:23:49 UTC 2026","failed","Fri Feb 06 02:24:14 UTC 2026","Header Navigation Tests","","",""
"","7192","@regression - Verify ""Fotbal"" link is present","chromium","Fri Feb 06 02:24:09 UTC 2026","passed","Fri Feb 06 02:24:16 UTC 2026","Live Page Tests","","",""
"","17952","@regression - Verify Supersocial link navigation","firefox","Fri Feb 06 02:23:15 UTC 2026","failed","Fri Feb 06 02:23:33 UTC 2026","Header Navigation Tests","","",""
"","10337","@regression - Verify ""Fotbal"" link is functional","firefox","Fri Feb 06 02:24:33 UTC 2026","passed","Fri Feb 06 02:24:44 UTC 2026","Live Page Tests","","",""
"","18330","@regression - Verify Sport link navigation","firefox","Fri Feb 06 02:23:24 UTC 2026","failed","Fri Feb 06 02:23:43 UTC 2026","Header Navigation Tests","","",""
"","17691","@regression - Verify Search icon is functional","webkit","Fri Feb 06 02:24:47 UTC 2026","passed","Fri Feb 06 02:25:04 UTC 2026","Header Navigation Tests","","",""
"","7172","@regression - Verify Casino link navigation","chromium","Fri Feb 06 02:23:32 UTC 2026","passed","Fri Feb 06 02:23:39 UTC 2026","Header Navigation Tests","","",""
"","18161","@regression - Verify Biletele Mele link navigation","chromium","Fri Feb 06 02:24:11 UTC 2026","failed","Fri Feb 06 02:24:30 UTC 2026","Header Navigation Tests","","",""
"","18217","@regression - Verify Register button is functional","webkit","Fri Feb 06 02:25:04 UTC 2026","passed","Fri Feb 06 02:25:22 UTC 2026","Header Navigation Tests","","",""
"","5804","@smoke @regression - Verify left sidebar menu exists","chromium","Fri Feb 06 02:24:21 UTC 2026","passed","Fri Feb 06 02:24:27 UTC 2026","Sport Page Tests","","",""
"","4879","@smoke @regression - Verify left sidebar menu exists","chromium","Fri Feb 06 02:23:58 UTC 2026","passed","Fri Feb 06 02:24:03 UTC 2026","Live Page Tests","","",""
"","18411","@regression - Verify ""Fotbal"" link is present","webkit","Fri Feb 06 02:25:38 UTC 2026","passed","Fri Feb 06 02:25:57 UTC 2026","Live Page Tests","","",""
"","28812","@regression - Verify Casino link navigation","webkit","Fri Feb 06 02:24:17 UTC 2026","passed","Fri Feb 06 02:24:46 UTC 2026","Header Navigation Tests","","",""
"","12967","@regression - Verify Search icon is functional","firefox","Fri Feb 06 02:23:57 UTC 2026","passed","Fri Feb 06 02:24:10 UTC 2026","Header Navigation Tests","","",""
"","15096","@regression - Verify Login button is functional","firefox","Fri Feb 06 02:25:11 UTC 2026","failed","Fri Feb 06 02:25:26 UTC 2026","Header Navigation Tests","","",""
"","11996","@regression - Verify User Profile icon is functional","firefox","Fri Feb 06 02:24:03 UTC 2026","passed","Fri Feb 06 02:24:15 UTC 2026","Header Navigation Tests","","",""
"","5911","@regression - Click first 5 sub-pages and validate","chromium","Fri Feb 06 02:24:24 UTC 2026","passed","Fri Feb 06 02:24:30 UTC 2026","Sport Page Tests","","",""
"","18080","@regression - Click first 5 sub-pages and validate","webkit","Fri Feb 06 02:26:01 UTC 2026","passed","Fri Feb 06 02:26:19 UTC 2026","Sport Page Tests","","",""
"","12474","@smoke @regression - Verify left sidebar menu exists","firefox","Fri Feb 06 02:24:44 UTC 2026","passed","Fri Feb 06 02:24:56 UTC 2026","Sport Page Tests","","",""
"","33581","@regression - Verify Biletele Mele link navigation","webkit","Fri Feb 06 02:25:23 UTC 2026","failed","Fri Feb 06 02:25:57 UTC 2026","Header Navigation Tests","","",""
"","20550","@smoke @regression - Verify left sidebar menu exists","webkit","Fri Feb 06 02:25:57 UTC 2026","passed","Fri Feb 06 02:26:17 UTC 2026","Sport Page Tests","","",""
"","10031","@regression - Click first 5 sub-pages and validate","firefox","Fri Feb 06 02:24:49 UTC 2026","passed","Fri Feb 06 02:24:59 UTC 2026","Sport Page Tests","","",""
"","11052","@regression - Verify User Profile icon is functional","chromium","Fri Feb 06 02:23:40 UTC 2026","passed","Fri Feb 06 02:23:51 UTC 2026","Header Navigation Tests","","",""
"","14836","@regression - Verify ""Fotbal"" link is present","firefox","Fri Feb 06 02:24:33 UTC 2026","passed","Fri Feb 06 02:24:48 UTC 2026","Live Page Tests","","",""
"","18043","@regression - Verify Live link navigation","firefox","Fri Feb 06 02:23:21 UTC 2026","failed","Fri Feb 06 02:23:39 UTC 2026","Header Navigation Tests","","",""
